time,unit_impulse,unit_step,rectangular_pulse,sine_wave,cosine_wave,square_wave,triangular_wave,sawtooth_wave,exponential_decay,complex_exponential_real,complex_exponential_imag,gaussian_pulse,sinc_function,chirp_signal,white_noise,impulse_train
0.593,0.0,1.0,0.0,-0.21814324139654379,0.9759167619387471,-1.0,-0.8599999999999994,0.9299999999999997,7.067526484648348e-06,0.9759167619387471,-0.21814324139654379,0.17731987039779637,0.9440555607177082,-0.8711048061312612,-0.6831176318163441,0.0
0.594,0.0,1.0,0.0,-0.1873813145857278,0.982287250728688,-1.0,-0.879999999999999,0.9399999999999995,6.927580083812657e-06,0.982287250728688,-0.1873813145857278,0.17081058952306485,0.942867096291933,-0.892915460477828,-0.8104341649548167,0.0
0.595,0.0,1.0,0.0,-0.15643446504023248,0.9876883405951374,-1.0,-0.8999999999999986,0.9499999999999993,6.79040480737947e-06,0.9876883405951374,-0.15643446504023248,0.1644744565771549,0.9416668212100648,-0.9128199232549746,-0.17790790684050148,0.0
0.596,0.0,1.0,0.0,-0.12533323356430426,0.9921147013144779,-1.0,-0.9199999999999999,0.96,6.6559457834091735e-06,0.9921147013144779,-0.12533323356430426,0.15831002262193877,0.9404547637090438,-0.9307722732886072,-0.36317403060067194,0.0
0.597,0.0,1.0,0.0,-0.09410831331851628,0.9955619646030798,-1.0,-0.9399999999999995,0.9699999999999998,6.524149226499366e-06,0.9955619646030798,-0.09410831331851628,0.15231569061424194,0.9392309522987609,-0.9467306740549837,-0.4398405847540615,0.0
0.598,0.0,1.0,0.0,-0.06279051952931375,0.9980267284282716,-1.0,-0.9599999999999991,0.9799999999999995,6.3949624162699644e-06,0.9980267284282716,-0.06279051952931375,0.14648972346236577,0.9379954157612567,-0.9606574796714215,-0.9315562748026976,0.0
0.599,0.0,1.0,0.0,-0.03141075907813062,0.9995065603657315,-1.0,-0.9800000000000004,0.9900000000000002,6.268333676274384e-06,0.9995065603657315,-0.03141075907813062,0.14083025205384142,0.9367481831499134,-0.9725193323039938,1.3139302099764176,0.0
0.6,0.0,1.0,0.0,-7.347880794884119e-16,1.0,-1.0,-1.0,-1.0,6.14421235332821e-06,1.0,-7.347880794884119e-16,0.1353352832366127,0.935489283788639,-0.9822872507286884,0.8574850333410122,1.0
0.601,0.0,1.0,0.0,0.03141075907812561,0.9995065603657316,1.0,-0.9800000000000004,-0.9900000000000002,6.022548797247291e-06,0.9995065603657316,0.03141075907812561,0.1300027077366511,0.9342187472710438,-0.989936709800026,0.6666000300037358,0.0
0.602,0.0,1.0,0.0,0.06279051952931229,0.9980267284282717,1.0,-0.9600000000000009,-0.9800000000000004,5.9032943409869815e-06,0.9980267284282717,0.06279051952931229,0.12483030799583289,0.9329366034596084,-0.9954477105993869,-0.691612533027211,0.0
0.603,0.0,1.0,0.0,0.09410831331851129,0.9955619646030803,1.0,-0.9400000000000013,-0.9700000000000006,5.7864012811747176e-06,0.9955619646030803,0.09410831331851129,0.11981576591475605,0.9316428824848473,-0.9988048410541909,-1.416209311918934,0.0
0.604,0.0,1.0,0.0,0.12533323356430282,0.992114701314478,1.0,-0.9199999999999999,-0.96,5.6718228590279695e-06,0.992114701314478,0.12533323356430282,0.11495667048603507,0.9303376147444608,-0.9999973268385781,1.0326853467804042,0.0
0.605,0.0,1.0,0.0,0.156434465040231,0.9876883405951377,1.0,-0.9000000000000004,-0.9500000000000002,5.559513241650146e-06,0.9876883405951377,0.156434465040231,0.11025052530448522,0.929020830902483,-0.9990190723863032,0.42326429173889435,0.0
0.606,0.0,1.0,0.0,0.18738131458572285,0.982287250728689,1.0,-0.8800000000000008,-0.9400000000000004,5.449427503696804e-06,0.982287250728689,0.18738131458572285,0.10569475594148857,0.9276925618884211,-0.9958686918671968,-0.24926855592749872,0.0
0.607,0.0,1.0,0.0,0.21814324139654234,0.9759167619387474,1.0,-0.8599999999999994,-0.9299999999999997,5.341521609404953e-06,0.9759167619387474,0.21814324139654234,0.10128671717171844,0.9263528388963865,-0.9905495299996402,-0.1337389364840953,0.0
0.608,0.0,1.0,0.0,0.24868988716485269,0.9685831611286316,1.0,-0.8399999999999999,-0.9199999999999999,5.235752394978102e-06,0.9685831611286316,0.24868988716485269,0.09702370004128698,0.9250016933842199,-0.9830696725930806,-2.2894099949918334,0.0
0.609,0.0,1.0,0.0,0.2789911060392287,0.9602936856769432,1.0,-0.8200000000000003,-0.9100000000000001,5.132077551320205e-06,0.9602936856769432,0.2789911060392287,0.0929029387672628,0.9236391570726087,-0.9734419467365728,-0.9371177079899801,0.0
0.61,0.0,1.0,0.0,0.309016994374945,0.9510565162951543,1.0,-0.8000000000000007,-0.9000000000000004,5.030455607111439e-06,0.9510565162951543,0.309016994374945,0.08892161745938634,0.9222652619441963,-0.9616839105716952,1.635317717909543,0.0
0.611,0.0,1.0,0.0,0.33873792024529054,0.9408807689542258,1.0,-0.7800000000000011,-0.8900000000000006,4.930845912219163e-06,0.9408807689542258,0.33873792024529054,0.085076876655682,0.9208800402426854,-0.9478178326108184,0.1461344797059055,0.0
0.612,0.0,1.0,0.0,0.36812455268467525,0.9297764858882525,1.0,-0.7599999999999998,-0.8799999999999999,4.833208621437263e-06,0.9297764858882525,0.36812455268467525,0.0813658196645253,0.9194835244719332,-0.9318706605846387,-0.252251970493061,0.0
0.613,0.0,1.0,0.0,0.39714789063477945,0.9177546256839817,1.0,-0.7400000000000002,-0.8700000000000001,4.737504678547579e-06,0.9177546256839817,0.39714789063477945,0.07778551870657231,0.9180757473950398,-0.9138739798260577,2.694832824367257,0.0
0.614,0.0,1.0,0.0,0.42577929156507294,0.9048270524660194,1.0,-0.7200000000000006,-0.8600000000000003,4.643695800696877e-06,0.9048270524660194,0.42577929156507294,0.07433302085078965,0.9166567420334287,-0.89386396122074,1.0720649857908313,0.0
0.615,0.0,1.0,0.0,0.4539904997395453,0.8910065241883686,1.0,-0.6999999999999993,-0.8499999999999996,4.551744463083231e-06,0.8910065241883686,0.4539904997395453,0.07100535373963698,0.9152265416659215,-0.8718812987781867,-0.19550371752600182,0.0
0.616,0.0,1.0,0.0,0.4817536741017152,0.8763066800438636,1.0,-0.6799999999999997,-0.8399999999999999,4.461613883945555e-06,0.8763066800438636,0.4817536741017152,0.06779953109924783,0.9137851798278039,-0.8479711369006345,-0.10051032985343172,0.0
0.617,0.0,1.0,0.0,0.5090414157503695,0.8607420270039446,1.0,-0.6600000000000001,-0.8300000000000001,4.373268009850434e-06,0.8607420270039446,0.5090414157503695,0.06471255803122683,0.9123326903098862,-0.8221829874505595,0.9139189617178842,0.0
0.618,0.0,1.0,0.0,0.5358267949789963,0.8443279255020153,1.0,-0.6400000000000006,-0.8200000000000003,4.286671501270272e-06,0.8443279255020153,0.5358267949789963,0.06174143608342907,0.9108691071575552,-0.7945706367411343,0.9675986858924551,0.0
0.619,0.0,1.0,0.0,0.5620833778521287,0.8270805742745632,1.0,-0.620000000000001,-0.8100000000000005,4.2017897184469915e-06,0.8270805742745632,0.5620833778521287,0.05888316809781038,0.90939446466982,-0.7651920425972821,-2.7296980179259944,0.0
0.62,0.0,1.0,0.0,0.5877852522924725,0.8090169943749479,1.0,-0.5999999999999996,-0.7999999999999998,4.118588707535708e-06,0.8090169943749479,0.5877852522924725,0.056134762834133725,0.9079087973983508,-0.7341092216582872,-0.48588795218249464,0.0
0.621,0.0,1.0,0.0,0.6129070536529772,0.7901550123756899,1.0,-0.5800000000000001,-0.79,4.037035187022686e-06,0.7901550123756899,0.6129070536529772,0.05349323936898553,0.9064121401465101,-0.7013881271159171,-0.8226731189738654,0.0
0.622,0.0,1.0,0.0,0.6374239897486889,0.7705132427757899,1.0,-0.5600000000000005,-0.7800000000000002,3.957096534412328e-06,0.7705132427757899,0.6374239897486889,0.05095563127019423,0.9049045279683775,-0.6670985171047596,-1.1984072234154464,0.0
0.623,0.0,1.0,0.0,0.6613118653236523,0.7501110696304593,1.0,-0.5399999999999991,-0.7699999999999996,3.878740773177718e-06,0.7501110696304593,0.6613118653236523,0.048518990547354,0.9033859961677675,-0.6313138139841263,0.31311584037756557,0.0
0.624,0.0,1.0,0.0,0.6845471059286876,0.7289686274214126,1.0,-0.5199999999999996,-0.7599999999999998,3.8019365599696187e-06,0.7289686274214126,0.6845471059286876,0.04618039137973475,0.9018565802972406,-0.5941109547727841,-0.005410898572971887,0.0
0.625,0.0,1.0,0.0,0.7071067811865476,0.7071067811865475,1.0,-0.5,-0.75,3.726653172078671e-06,0.7071067811865475,0.7071067811865476,0.04393693362340742,0.9003163161571062,-0.5555702330196043,-0.4508017876725282,0.0
0.626,0.0,1.0,0.0,0.7289686274214102,0.68454710592869,1.0,-0.4800000000000004,-0.7400000000000002,3.652860495145926e-06,0.68454710592869,0.7289686274214102,0.04178574609992929,0.8987652397944208,-0.5157751324144723,-0.3634392706227773,0.0
0.627,0.0,1.0,0.0,0.7501110696304594,0.661311865323652,1.0,-0.46000000000000085,-0.7300000000000004,3.580529011116689e-06,0.661311865323652,0.7501110696304594,0.03972398966941862,0.8972033875019781,-0.4748121524644423,-0.3343549510213967,0.0
0.628,0.0,1.0,0.0,0.7705132427757878,0.6374239897486914,1.0,-0.4399999999999995,-0.7199999999999998,3.509629786432929e-06,0.6374239897486914,0.7705132427757878,0.03774886009129898,0.8956307958172925,-0.43277062658034793,-0.3065646075343565,0.0
0.629,0.0,1.0,0.0,0.79015501237569,0.6129070536529769,1.0,-0.41999999999999993,-0.71,3.4401344604594294e-06,0.6129070536529769,0.79015501237569,0.03585759067641386,0.8940475015215754,-0.3897425329385356,-0.7270788323376228,0.0
0.63,0.0,1.0,0.0,0.809016994374948,0.5877852522924724,1.0,-0.40000000000000036,-0.7000000000000002,3.3720152341391845e-06,0.5877852522924724,0.809016994374948,0.034047454734599344,0.8924535416387062,-0.345822298501292,-0.8960454434246669,0.0
0.631,0.0,1.0,0.0,0.8270805742745613,0.5620833778521314,1.0,-0.379999999999999,-0.6899999999999995,3.3052448588733918e-06,0.5620833778521314,0.8270805742745613,0.03231576782215889,0.8908489534341951,-0.30110659659766126,0.39999433724183486,0.0
0.632,0.0,1.0,0.0,0.8443279255020154,0.5358267949789961,1.0,-0.35999999999999943,-0.6799999999999997,3.2397966256216737e-06,0.5358267949789961,0.8443279255020154,0.03065988979400753,0.8892337744141401,-0.25569413848368416,-1.5486548360073549,0.0
0.633,0.0,1.0,0.0,0.860742027003943,0.5090414157503724,1.0,-0.33999999999999986,-0.6699999999999999,3.1756443542180685e-06,0.5090414157503724,0.860742027003943,0.029077226665546747,0.8876080423241773,-0.20968545931763224,0.3015749485748442,0.0
0.634,0.0,1.0,0.0,0.8763066800438637,0.48175367410171505,1.0,-0.3200000000000003,-0.6600000000000001,3.11276238289864e-06,0.48175367410171505,0.8763066800438637,0.02756523228959335,0.8859717951484248,-0.16318269900151677,0.9937927192028156,0.0
0.635,0.0,1.0,0.0,0.8910065241883671,0.4539904997395483,1.0,-0.3000000000000007,-0.6500000000000004,3.051125558036417e-06,0.4539904997395483,0.8910065241883671,0.026121409853918233,0.8843250711084187,-0.11628937835493056,-1.0129110000429618,0.0
0.636,0.0,1.0,0.0,0.9048270524660195,0.4257792915650727,1.0,-0.27999999999999936,-0.6399999999999997,2.9907092240796304e-06,0.4257792915650727,0.9048270524660195,0.0247433132051543,0.8826679086620447,-0.06911017110107835,-0.37912197864730596,0.0
0.637,0.0,1.0,0.0,0.9177546256839804,0.39714789063478245,1.0,-0.2599999999999998,-0.6299999999999999,2.9314892136891307e-06,0.39714789063478245,0.9177546256839804,0.023428548005007897,0.8810003465024618,-0.021750672157687168,-0.5619998063494908,0.0
0.638,0.0,1.0,0.0,0.9297764858882512,0.36812455268467836,1.0,-0.2400000000000002,-0.6200000000000001,2.8734418380711506e-06,0.36812455268467836,0.9297764858882512,0.022174772724855196,0.8793224235570201,0.025682837262651692,1.1101031568348874,0.0
0.639,0.0,1.0,0.0,0.9408807689542259,0.33873792024529026,1.0,-0.21999999999999886,-0.6099999999999994,2.8165438775014624e-06,0.33873792024529026,0.9408807689542259,0.02097969948492572,0.8776341789861714,0.07308362722745233,0.8713888664751898,0.0
0.64,0.0,1.0,0.0,0.9510565162951533,0.3090169943749482,1.0,-0.1999999999999993,-0.5999999999999996,2.7607725720371986e-06,0.3090169943749482,0.9510565162951533,0.019841094744370288,0.8759356521823747,0.12034475880971224,0.6773557308860165,0.0
0.641,0.0,1.0,0.0,0.9602936856769433,0.27899110603922844,1.0,-0.17999999999999972,-0.5899999999999999,2.706105612412542e-06,0.27899110603922844,0.9602936856769433,0.01875677984858104,0.8742268827689947,0.16735932543019788,0.9924098579830762,0.0
